st_uuid,st_name,緯度,經度,運作狀態,GPS主機電壓,電瓶電壓,抽水量,出水量
ebb2bde8-b9a4-4f25-8fff-280ad5467bf9,水-1(Cat-M1),3e9e34ec-8484-4a10-8c05-cd68c1ce6696,5a36a738-ad2f-4ca7-9c4a-a90d05c68423,16f6752e-6528-43b1-bf05-927388326b8f,1c2f725a-723a-4469-93af-51b1b29b4e61,8479c964-7a64-45cc-bb52-3ce97b7f2843,01692e13-0c53-41eb-ab2d-e02b2b6b6547,a0654992-b3f6-4ae3-8c6b-1e25ad59cd15
c285620b-c829-4337-ba54-f52a0107e34b,水-2,eadc2633-fbe9-473f-a028-0725789b2f58,5ad38ff3-bee5-4af6-8cb8-891e9de1ba6b,4d998521-7ce4-41ad-b65c-203a71c10201,23c89abe-ca0d-4a48-ab49-ca63b1e76e63,967f9c15-b622-42df-b748-8441e626d699,c342d65f-2881-483c-a6a6-251898c68272,294bf0b2-48c4-4dc6-bf74-085eaf9a30d0
753726b1-426f-4e50-8b0d-4cc769bb5a5a,水-3,a6250644-112e-459b-b5cf-6237947cb22e,ac75d9e1-1b87-4b58-992c-da59d7a55bac,2bf9d1c2-5603-41d4-bd10-405d1cf8f36a,ba5c8c4b-0b8c-4773-a66e-fcf29dcc4ab5,31a406b8-0764-49fb-8fd3-afb1ee33b26b,6be53820-b3a1-44e6-9594-f9e6e7cc6989,4b92d39d-5512-4a79-938a-55ab0858e232
2acc82b5-08b1-4634-98fa-d960c6f29467,水-4(Cat-M1),80656618-63be-4c94-b448-9a4694aaa8ce,e0ff01ca-fa8d-4662-a8cc-fc589a95f0d8,e65d1687-afc7-4b75-ab50-92c950b76455,b04f7317-da5e-4ec0-8d35-a2e519b34e98,ff91ed52-6876-4c28-a594-2044d040fe2a,40556590-27c5-473b-a51f-4faa1470a208,3c2ff6e9-5788-4afd-81ef-c8418228b42a
22bf75b1-a868-4068-a761-92cacad91d5e,水-5,587c96c3-c37c-4ea8-8484-9e6492715221,2978d456-e2e6-4a88-a31b-3179ec9341c9,6cb92b17-b32b-4f43-8863-6a6a85a2f1c7,e5b5f119-00da-4f53-95f0-e603403f5a8a,034de9ca-ba28-4f5a-9650-10bdb3329d41,67bbe2b3-4a28-43ff-8bfc-9f9bf1d28362,141a6976-2216-47cc-9f25-27f02066697e
6f6600da-84db-483b-8fc1-b16bd03ee83d,水-6(Cat-M1),88e9d4e1-ede1-4caf-886f-c064402237dd,9b50f186-db12-47b5-843a-e769de051d1d,8136c2b6-acaa-4dd5-b87d-0ae57db50927,bba9afef-6b66-4e07-ac7d-f8b0ce072d6e,5ed7cfa7-f41e-4f34-9a7a-80b2e63337d0,bd410a0c-4e43-4f62-a47c-b7f7486a9f27,0c86ee72-9ea7-4045-9305-6188da7c8a01
83c61080-0a86-43d4-a398-7f0c7d0b2edc,水-7,e12e5389-ed0f-4653-b75c-9537f47d1663,2369c0ca-086f-4ca7-9dd3-510ada83753c,15011805-aa2f-47a3-8611-64e40e1cc808,64de760c-09d3-4409-9b2a-1be4db01bdc1,030bc411-12a5-4294-b2f3-171278cebaba,f9bc71ec-650d-4ba8-b69c-6b0ddf7a8e61,c32cbdf8-302d-4ba6-b674-949927e64576
2ca15e88-c697-4d62-925e-cb6e37151df6,水-8(Cat-M1),be190ad9-1f94-42fe-ac5b-5e2d464a84d5,a61de8fa-a008-4696-8315-39765d07a2d9,fc0e8d20-b760-4deb-bfb7-2f56d6406cb2,a5195d7b-a45d-4ba7-9d9c-b6a12ea917e7,bf52a111-41c8-4132-9d28-cd9fdfc0d375,28596f35-5311-4182-928d-30b9654855e6,ef34ca41-04e6-4a53-9fca-4330488f3e06
39ba6de7-a839-4978-b156-5c5fd584f914,水-9,c1072d67-5e6f-4a19-9f6c-d924e94b90bf,a4f0c061-4d56-40aa-8136-ebee564c11e2,fd6bded6-c828-471e-a633-5cd042624f68,ce07eef2-dcdd-4890-807e-7df4083e3c3d,ff11674f-3324-4841-beec-41731cf24b34,fba1091d-3250-4da0-bfe0-d12d070007cc,ae696554-6e51-439a-9864-fe2be9147135
e530b67f-5fc2-4870-8e44-bfe897994b32,水-10(Cat-M1),e54511c1-6cf1-42bc-a7d3-312d4f39864f,56f68d75-6aa7-46c2-a2da-fe4fc0281739,95874ef1-a75f-4361-a711-caa48dad0158,d0b69ae6-5d33-4f40-bf41-924b4c023a82,8d9c33ca-ff28-4826-9242-29c5dc923d29,49f7fc9b-1698-473d-92a1-5b1a9ea46eae,c7519c97-3d6c-40d0-8fee-ccb660594009
5e153f98-bc60-46ac-a12f-433bb4814690,水-11,0fae9556-cd16-4eca-9be2-72f2715bf01b,8da46967-8674-4dc2-9561-d417d5bf8915,dc715107-9d1d-4c01-b889-06801e4c770b,b8ce14ef-66ba-4544-b9b8-8321d4f9ab0a,87844f75-0971-43ae-9e0c-4de5df787864,cf92335b-ee4f-4c9f-a7bf-308852c026ce,ab7632df-cbe5-474b-aa3a-641aae667098
04a8b37b-8c99-4766-a306-e313f7be33b4,水-12,4a07aaa1-865d-47dc-b4e1-ba449b6ddbe7,c2d7b315-438e-4039-be2e-5f8470de1780,64599116-fd7e-499d-8313-1b656d711332,02ca5c89-71f7-4a63-8ed5-469ed9e8bb52,1af0dc52-436e-46f5-b358-c6cf570c2592,e5235024-3e4f-4526-83b3-4572d840a5ba,b99648b6-4707-48a3-b333-182cf51ac274
